city,province
Angoche,Nampula
Beira,Sofala
Bilene,Gaza
Catandica,
Chibuto,Manica
Chicualacuala,Gaza
Chimoio,Manica
Chinde,Zambezia
Chokwé,Gaza
Cuamba,Cabo Delgado
Dondo,Sofala
Gurúè,Zambezia
Inhambane,Inhambane
Lichinga,Niassa
Manica,Manica
Maputo (Capital),Maputo City
Marracuene,Maputo
Matola,Maputo
Maxixe,Inhambane
Moatize,Tete
Mocímboa da Praia,Cabo Delgado
Mocuba,Zambezia
Montepuez,Cabo Delgado
Mueda,Cabo Delgado
Naamcha,Maputo
Nacala,Nampula
Nampula,Nampula
Palma,Cabo Delgado
Pemba,Cabo Delgado
Ponta d'Ouro,Maputo
Quelimane,Zambezia
Tete,Tete
Vilankulo,Inhambane
Xai-Xai,Gaza
Zavala,Inhambane
